data_hora,equipamento_id,tipo_operacao,cultura,umidade_solo,precipitacao_24h,precipitacao_prevista,temperatura,declividade_terreno,distancia_corpo_dagua,tipo_solo,historico_sinistros_area,horas_uso_equipamento,ultima_manutencao_dias,velocidade_vento,risco_label
2026-03-15 14:00,COLH-001,campo,cana,51.2,1.4,2.5,32.2,2.8,655.7,latossolo,0,1333.5,91,24.7,0
2026-03-15 14:00,COLH-003,campo,cana,61.1,33.6,3.6,26.7,13.9,236.9,argissolo,1,1531.2,63,11.6,1
2026-03-15 09:00,TRAT-002,campo,cana,65.2,22.0,5.5,23.9,16.9,663.3,latossolo,2,666.4,43,18.7,0
2026-03-15 15:00,TRAT-003,campo,soja,63.5,13.4,5.1,30.2,17.3,81.1,argissolo,4,1948.3,67,10.0,1
2026-03-15 15:45,TRAT-005,campo,milho,62.9,34.6,8.3,27.1,1.7,177.4,argissolo,0,1159.3,93,25.7,1
2026-03-15 07:00,TRAT-005,campo,soja,80.0,24.6,11.7,32.6,9.0,48.9,gleissolo,4,1161.1,24,26.2,1
2026-03-15 09:00,TRAT-003,campo,milho,75.1,34.4,3.7,23.9,14.5,132.3,argissolo,3,1950.2,9,24.6,1
2026-03-16 08:15,TRAT-004,campo,soja,32.8,19.3,5.3,28.1,14.1,303.2,latossolo,2,1418.3,47,26.5,0
2026-03-17 14:30,TRAT-001,campo,milho,47.5,24.6,1.7,32.8,5.0,582.5,latossolo,0,200.5,95,14.5,0
2026-03-17 09:00,COLH-001,campo,cana,81.0,33.9,6.1,26.8,7.0,94.8,gleissolo,1,1334.6,29,14.1,1
2026-03-17 09:00,TRAT-005,campo,milho,64.7,22.7,10.1,28.1,16.2,171.3,argissolo,5,1162.0,26,19.8,1
2026-03-18 07:30,TRAT-004,transporte,soja,49.0,21.2,1.1,27.0,13.2,284.7,latossolo,0,1419.0,94,13.2,0
2026-03-18 06:45,TRAT-004,campo,cana,62.5,38.9,6.8,31.6,13.9,60.0,argissolo,4,1420.1,81,11.6,1
2026-03-19 14:45,TRAT-003,campo,milho,63.6,6.9,3.9,27.8,5.9,563.5,latossolo,1,1951.0,14,21.1,0
2026-03-20 14:00,TRAT-003,campo,milho,56.9,21.3,8.1,27.0,5.3,191.3,argissolo,3,1951.9,54,25.7,1
2026-03-20 09:00,COLH-001,campo,milho,83.4,53.6,8.2,29.2,5.6,115.8,gleissolo,1,1336.5,39,14.5,1
2026-03-21 15:15,COLH-005,transporte,cana,72.8,31.5,1.3,27.1,17.5,231.4,argissolo,0,1051.1,11,10.2,1
2026-03-22 08:45,TRAT-005,transporte,milho,30.8,13.5,15.0,26.2,13.5,195.0,latossolo,5,1162.9,10,22.1,1
2026-03-22 14:15,TRAT-004,campo,cana,48.6,6.4,1.8,29.3,19.3,671.3,latossolo,2,1421.7,19,22.7,0
2026-03-23 14:00,TRAT-005,campo,milho,33.0,17.3,9.4,23.2,15.8,543.3,latossolo,2,1164.8,81,23.3,0
2026-03-23 14:45,COLH-001,campo,cana,62.9,2.6,4.8,29.6,16.8,617.3,latossolo,2,1337.0,24,14.5,0
2026-03-24 09:45,PLAN-002,campo,soja,92.6,31.0,7.0,29.3,8.5,37.8,gleissolo,0,1661.6,68,24.4,1
2026-03-24 08:30,TRAT-005,transporte,cana,85.3,28.6,3.6,26.9,11.8,80.0,gleissolo,1,1166.5,93,15.4,1
2026-03-25 06:30,TRAT-004,campo,soja,48.9,13.3,6.4,31.0,7.6,469.9,latossolo,2,1422.4,63,10.5,0
2026-03-25 08:00,PLAN-001,transporte,cana,49.4,18.1,14.6,28.3,6.7,269.0,latossolo,0,858.2,29,11.1,0
2026-03-26 15:15,TRAT-005,campo,soja,58.8,39.7,7.4,32.5,12.1,189.5,argissolo,3,1168.1,66,14.6,1
2026-03-26 09:00,TRAT-002,campo,soja,59.6,37.4,14.2,23.0,6.1,187.3,argissolo,4,668.4,58,18.6,1
2026-03-26 09:45,TRAT-005,transporte,milho,54.4,18.5,14.2,24.5,5.4,491.6,latossolo,2,1168.9,15,7.8,0
2026-03-26 06:45,COLH-005,campo,milho,58.3,17.6,6.8,30.2,18.6,277.3,latossolo,2,1052.1,80,19.9,0
2026-03-27 14:15,TRAT-003,transporte,soja,42.3,18.7,8.5,25.5,3.8,241.3,latossolo,2,1953.3,43,20.8,1
2026-03-28 06:00,COLH-003,campo,cana,68.5,20.9,8.6,33.4,20.0,200.2,latossolo,2,1532.8,39,17.8,1
2026-03-28 14:45,TRAT-005,campo,cana,68.8,11.8,6.1,25.9,3.4,597.8,latossolo,0,1169.7,47,13.9,0
2026-03-29 09:00,COLH-001,campo,soja,85.3,64.5,9.9,28.5,9.1,66.4,gleissolo,1,1338.6,71,12.7,1
2026-03-30 07:30,PLAN-001,campo,milho,34.9,24.3,9.1,24.9,4.4,534.0,latossolo,2,859.2,6,17.3,0
2026-03-30 06:15,COLH-005,transporte,milho,80.0,44.2,3.7,28.6,8.6,104.7,argissolo,4,1054.0,70,21.9,1
2026-03-30 09:30,PLAN-001,campo,soja,53.5,25.0,7.3,23.8,11.5,314.2,latossolo,1,859.8,47,17.2,0
2026-03-31 07:15,PLAN-002,campo,milho,58.2,20.3,5.8,30.0,16.7,559.6,latossolo,0,1662.4,68,27.2,0
2026-04-01 09:00,PLAN-001,transporte,soja,74.6,11.2,7.0,33.6,7.8,132.0,argissolo,5,861.1,55,19.6,1
2026-04-02 15:45,PLAN-001,campo,soja,41.5,5.7,0.5,33.7,15.6,526.4,latossolo,2,862.9,17,14.6,0
2026-04-02 08:00,TRAT-005,campo,milho,52.6,19.8,2.5,22.9,17.6,442.1,latossolo,2,1170.9,92,9.8,0
2026-04-02 09:30,COLH-005,campo,soja,80.8,44.6,1.1,33.3,19.8,71.9,gleissolo,2,1054.7,86,27.1,1
2026-04-03 07:45,COLH-005,campo,milho,84.8,16.8,14.7,29.9,6.6,165.0,argissolo,4,1056.2,92,22.7,1
2026-04-04 07:30,TRAT-004,campo,cana,60.7,17.0,2.1,23.2,13.1,565.6,latossolo,0,1423.3,44,22.9,0
2026-04-05 06:30,COLH-001,campo,soja,65.1,9.1,2.5,25.3,4.5,582.6,latossolo,1,1340.2,42,21.9,0
2026-04-05 06:15,TRAT-004,transporte,cana,80.4,27.3,1.4,26.7,6.4,129.5,argissolo,0,1423.9,63,12.8,1
2026-04-06 15:30,TRAT-002,campo,milho,52.5,22.9,3.3,22.8,16.7,636.3,latossolo,2,670.1,43,19.6,0
2026-04-06 08:45,TRAT-002,campo,cana,56.8,18.6,14.2,27.0,15.2,399.5,latossolo,0,670.8,58,19.7,0
2026-04-07 06:30,TRAT-004,campo,soja,88.7,44.5,14.7,26.3,8.9,38.9,gleissolo,1,1425.5,20,26.8,1
2026-04-07 15:00,TRAT-001,transporte,soja,79.1,57.3,8.3,29.0,16.5,100.8,gleissolo,1,201.8,47,22.6,1
2026-04-07 07:15,PLAN-001,campo,soja,35.3,9.0,3.9,29.1,1.8,626.5,latossolo,1,864.4,11,7.0,0
2026-04-07 09:45,COLH-001,campo,soja,54.6,18.2,13.6,29.9,7.1,271.9,latossolo,2,1341.2,8,5.5,0
2026-04-08 15:00,COLH-005,campo,milho,54.3,1.6,1.4,29.6,11.6,194.4,latossolo,2,1058.2,53,27.9,0
2026-04-09 06:00,PLAN-001,campo,soja,46.6,20.7,6.0,30.8,7.3,638.5,latossolo,1,865.5,90,10.1,0
2026-04-10 06:00,TRAT-002,campo,cana,71.7,28.5,8.4,26.0,3.8,212.4,argissolo,1,672.6,90,26.6,1
2026-04-10 14:30,COLH-001,campo,cana,39.0,2.7,4.2,26.4,15.6,511.2,latossolo,2,1342.4,33,23.4,0
2026-04-10 06:15,TRAT-005,campo,milho,78.6,26.4,9.9,22.8,15.2,61.6,gleissolo,0,1172.8,16,21.9,1
2026-04-11 08:15,COLH-001,campo,milho,57.5,7.1,0.8,29.4,14.0,163.5,argissolo,2,1344.2,61,19.9,1
2026-04-12 08:15,PLAN-001,campo,milho,53.7,13.2,4.6,24.6,19.7,523.0,latossolo,0,867.4,5,8.9,0
2026-04-12 08:30,TRAT-002,campo,cana,51.3,5.8,2.8,30.0,8.1,221.1,latossolo,1,673.7,10,14.5,0
2026-04-12 14:45,PLAN-002,campo,cana,30.8,8.1,4.0,29.4,16.9,213.3,latossolo,1,1663.1,16,14.5,0
2026-04-13 14:00,COLH-003,transporte,cana,36.7,12.8,1.7,28.1,18.3,333.2,latossolo,1,1534.4,49,21.5,1
2026-04-13 06:15,TRAT-005,campo,cana,33.0,23.8,9.4,27.6,11.9,567.5,latossolo,2,1173.6,62,20.3,0
2026-04-14 07:45,TRAT-002,campo,cana,32.2,12.7,4.7,27.4,2.6,301.1,latossolo,1,674.9,14,19.5,0
2026-04-14 09:00,COLH-005,transporte,cana,69.3,11.0,0.9,23.2,18.1,114.3,argissolo,2,1059.5,15,16.1,1
2026-04-14 09:15,COLH-001,campo,milho,57.2,1.3,3.2,26.0,7.6,576.0,latossolo,2,1345.4,91,13.3,0
2026-04-14 06:15,COLH-001,campo,cana,72.9,42.5,4.6,26.5,16.1,128.4,argissolo,1,1346.3,90,20.9,1
2026-04-14 14:30,TRAT-001,campo,soja,90.3,28.6,15.0,23.9,7.0,60.8,gleissolo,0,203.5,69,22.5,1
2026-04-14 14:15,PLAN-002,campo,soja,55.0,22.6,10.8,22.5,8.2,531.1,latossolo,2,1663.8,35,27.3,0
2026-04-15 14:15,TRAT-005,transporte,milho,88.6,45.7,6.6,31.2,15.9,47.5,gleissolo,4,1175.4,72,14.0,1
2026-04-15 08:00,COLH-005,transporte,cana,85.3,25.6,1.3,23.9,9.8,94.0,gleissolo,4,1060.3,23,23.9,1
2026-04-15 08:00,COLH-003,campo,cana,33.3,5.6,1.6,23.2,14.7,362.4,latossolo,1,1536.1,23,7.3,0
2026-04-16 15:45,COLH-005,campo,soja,36.0,23.5,9.1,27.1,15.9,268.6,latossolo,0,1060.9,43,6.9,0
2026-04-17 06:45,PLAN-002,campo,cana,59.3,22.2,9.2,24.9,9.2,98.4,argissolo,5,1665.2,90,6.1,1
2026-04-17 09:45,TRAT-001,campo,milho,61.5,8.6,3.7,29.5,15.8,158.9,latossolo,5,205.3,47,7.2,1
2026-04-18 15:45,COLH-005,campo,soja,48.3,7.3,0.2,24.4,2.3,576.9,latossolo,1,1061.8,70,13.6,0
2026-04-19 06:15,TRAT-005,campo,soja,77.5,36.6,13.3,30.9,18.1,59.9,gleissolo,3,1176.1,48,27.4,1
2026-04-20 14:30,TRAT-002,campo,soja,37.2,7.3,0.5,25.9,7.0,697.3,latossolo,1,676.9,82,21.2,0
2026-04-21 09:00,COLH-001,campo,milho,67.9,1.9,3.2,26.4,16.3,689.0,latossolo,2,1348.2,25,26.9,0
2026-04-22 07:00,TRAT-004,transporte,milho,31.3,3.8,2.2,26.5,9.7,672.2,latossolo,0,1427.2,78,7.3,0
2026-04-23 07:00,TRAT-001,campo,milho,58.5,36.0,10.6,24.6,12.8,232.7,argissolo,2,206.3,67,8.8,1
2026-04-23 07:45,TRAT-002,transporte,milho,71.5,16.6,4.5,23.9,14.6,191.9,argissolo,5,677.6,86,8.2,1
2026-04-23 07:15,TRAT-004,transporte,soja,48.7,24.6,1.9,32.6,2.7,464.8,latossolo,1,1428.3,66,16.6,0
2026-04-23 08:00,COLH-005,campo,cana,61.2,16.0,2.7,33.6,9.5,632.9,latossolo,0,1063.5,20,16.4,0
2026-04-23 15:15,COLH-001,transporte,cana,80.0,48.6,8.3,23.5,7.1,106.1,gleissolo,4,1348.9,16,16.1,1
2026-04-23 15:30,PLAN-002,campo,soja,60.8,6.6,1.1,28.9,12.9,671.7,latossolo,0,1667.2,68,25.3,0
2026-04-24 07:45,TRAT-005,campo,cana,49.4,5.1,3.0,25.8,14.8,391.8,latossolo,2,1177.3,49,27.4,0
2026-04-25 08:15,COLH-005,campo,milho,41.6,9.6,3.1,25.0,17.5,203.2,latossolo,0,1064.5,46,26.4,0
2026-04-25 09:45,COLH-005,transporte,milho,50.2,24.2,3.2,26.2,2.4,669.9,latossolo,1,1066.1,81,25.2,0
2026-04-26 14:00,TRAT-002,campo,milho,66.0,21.0,8.6,24.3,11.7,202.8,argissolo,0,678.6,54,16.1,0
2026-04-27 07:00,COLH-003,campo,milho,59.3,29.1,6.0,22.5,2.2,123.1,argissolo,5,1537.0,47,23.3,1
2026-04-27 08:30,TRAT-003,campo,cana,65.1,38.1,8.0,30.5,7.0,109.8,argissolo,0,1955.2,52,11.9,1
2026-04-28 15:00,PLAN-002,campo,cana,72.3,33.9,8.8,24.0,13.1,205.2,argissolo,2,1668.5,53,7.5,1
2026-04-28 07:00,COLH-005,campo,soja,50.1,15.3,7.1,32.2,15.0,262.1,latossolo,2,1067.6,22,16.4,0
2026-04-29 08:15,COLH-005,transporte,milho,81.0,32.2,12.1,25.2,10.5,185.2,argissolo,1,1068.9,40,17.4,1
2026-04-30 15:15,COLH-005,campo,milho,76.6,16.5,8.6,28.5,18.1,236.9,argissolo,1,1069.7,49,26.9,1
2026-05-01 08:00,COLH-001,transporte,cana,38.1,13.5,14.0,30.4,4.0,413.5,latossolo,2,1349.7,80,9.7,0
2026-05-01 06:00,COLH-003,campo,milho,30.2,13.8,13.9,26.9,18.8,573.9,latossolo,1,1538.3,66,19.6,0
2026-05-02 08:00,TRAT-002,campo,soja,83.1,41.5,2.6,32.6,4.8,194.6,argissolo,0,680.2,55,22.9,1
2026-05-03 06:30,PLAN-002,campo,milho,51.7,12.3,14.1,32.2,10.2,694.0,latossolo,0,1670.0,19,11.9,0
2026-05-04 06:30,TRAT-005,campo,soja,65.9,20.7,7.7,23.0,13.9,620.9,latossolo,0,1178.0,22,15.5,0
2026-05-04 09:15,COLH-005,transporte,milho,30.5,16.3,10.4,22.7,3.7,547.6,latossolo,1,1071.4,25,13.7,0
2026-05-05 15:30,COLH-001,campo,soja,84.1,64.5,5.6,30.4,18.4,73.0,gleissolo,4,1350.3,90,23.8,1
2026-05-05 14:30,TRAT-002,transporte,soja,50.2,14.3,2.2,25.9,11.1,451.2,latossolo,0,681.0,92,8.9,0
2026-05-05 06:45,TRAT-003,campo,milho,75.2,17.3,0.3,25.1,1.6,161.8,argissolo,1,1955.9,79,5.8,1
2026-05-05 06:45,TRAT-001,campo,soja,84.3,30.8,6.3,33.9,8.6,203.2,argissolo,1,207.0,53,5.9,1
2026-05-05 06:15,PLAN-001,campo,soja,55.1,5.9,1.5,30.1,11.6,94.5,argissolo,4,869.3,53,23.8,1
2026-05-06 08:15,TRAT-002,campo,cana,65.4,0.4,1.0,23.2,2.1,571.3,latossolo,2,682.4,91,20.9,0
2026-05-06 09:15,PLAN-001,campo,soja,39.4,22.9,8.6,28.9,15.8,696.4,latossolo,1,870.2,35,11.2,0
2026-05-06 08:30,TRAT-001,campo,cana,87.5,39.2,7.4,33.7,18.9,112.0,gleissolo,5,208.9,53,22.9,1
2026-05-07 07:30,COLH-003,campo,cana,42.0,17.7,12.1,33.0,11.9,617.1,latossolo,1,1539.9,76,16.7,0
2026-05-08 08:00,COLH-005,transporte,soja,56.5,20.1,9.1,22.5,2.8,215.9,argissolo,2,1072.7,90,17.4,1
2026-05-09 06:15,TRAT-004,transporte,soja,82.4,32.8,10.6,26.8,5.9,200.9,argissolo,1,1430.0,41,13.1,1
2026-05-10 08:30,PLAN-001,transporte,milho,48.8,21.0,13.7,26.4,9.2,689.7,latossolo,2,870.9,33,21.8,1
2026-05-11 07:15,COLH-001,campo,cana,88.1,50.8,3.9,31.9,19.4,74.9,gleissolo,5,1351.9,67,15.1,1
2026-05-12 07:45,TRAT-003,transporte,cana,85.5,57.8,1.1,31.8,2.4,116.2,gleissolo,0,1957.0,57,7.3,1
2026-05-12 06:15,PLAN-001,campo,soja,73.5,24.3,7.3,22.1,11.7,183.4,argissolo,0,871.4,7,16.7,1
2026-05-13 14:45,TRAT-003,campo,soja,73.6,15.1,5.3,31.5,3.0,98.2,argissolo,3,1958.4,63,17.6,1
2026-05-13 15:00,TRAT-001,campo,milho,55.5,17.6,1.2,32.1,13.4,411.8,latossolo,1,209.9,77,27.5,0
2026-05-13 07:45,TRAT-005,campo,soja,71.3,31.3,2.7,32.2,1.8,106.1,argissolo,1,1179.9,80,7.5,1
2026-05-14 08:15,PLAN-002,campo,milho,66.5,34.6,11.9,30.3,3.0,158.1,argissolo,5,1671.6,49,5.3,1
2026-05-14 14:45,COLH-001,campo,milho,61.8,27.1,5.6,24.2,12.3,140.1,argissolo,3,1353.5,15,22.5,1
2026-05-14 06:30,TRAT-003,campo,cana,44.4,2.3,4.7,27.3,15.6,364.3,latossolo,0,1960.4,21,6.1,0
2026-05-15 06:00,COLH-001,campo,cana,66.6,16.7,5.8,23.0,18.2,114.9,argissolo,1,1354.4,78,16.5,1
2026-05-15 08:30,TRAT-005,campo,soja,42.0,19.6,5.4,33.3,14.8,301.8,latossolo,1,1181.6,81,18.8,0
2026-05-15 06:45,COLH-001,transporte,milho,81.7,56.7,12.9,33.7,4.0,59.7,gleissolo,2,1355.9,82,26.7,1
2026-05-16 09:30,TRAT-005,campo,cana,39.7,9.4,4.1,26.7,3.6,466.7,latossolo,2,1182.8,30,18.2,0
2026-05-16 15:15,COLH-005,transporte,cana,61.8,16.8,2.1,25.6,6.2,616.3,latossolo,0,1073.9,59,22.9,0
2026-05-17 14:45,PLAN-001,campo,milho,72.8,41.6,1.6,25.0,13.8,212.5,argissolo,0,872.3,87,18.7,1
2026-05-18 09:00,TRAT-001,campo,soja,72.4,28.0,6.7,26.7,15.8,153.8,argissolo,4,211.9,93,16.0,1
2026-05-18 06:30,COLH-003,transporte,soja,35.7,7.8,2.3,24.5,10.4,667.4,latossolo,1,1541.0,17,14.5,0
2026-05-19 08:00,TRAT-002,campo,milho,59.9,44.4,3.7,24.1,4.5,185.4,argissolo,4,683.0,59,27.0,1
2026-05-20 07:45,COLH-003,campo,cana,83.6,20.2,3.2,25.3,14.5,70.5,gleissolo,0,1542.5,78,6.4,1
2026-05-20 08:15,COLH-005,campo,cana,87.8,46.9,9.2,29.0,7.9,77.5,gleissolo,3,1074.5,84,8.1,1
2026-05-21 15:15,COLH-001,campo,milho,35.7,9.7,3.0,28.9,9.3,355.3,latossolo,1,1356.7,86,16.9,0
2026-05-21 09:30,TRAT-003,campo,milho,83.6,24.4,2.9,26.6,11.9,223.1,argissolo,2,1961.5,68,13.8,1
2026-05-22 07:00,PLAN-002,campo,soja,51.5,4.2,2.3,30.9,15.7,301.2,latossolo,2,1672.8,70,6.7,0
2026-05-23 15:45,PLAN-001,campo,milho,60.1,7.4,5.0,27.4,7.9,606.5,latossolo,0,873.6,61,24.8,0
2026-05-23 15:30,PLAN-002,campo,soja,79.4,37.2,8.6,28.4,12.5,207.0,argissolo,0,1673.5,46,27.5,1
2026-05-24 07:45,TRAT-001,transporte,cana,40.0,17.8,12.4,31.1,14.0,626.3,latossolo,1,212.9,23,17.9,0
2026-05-25 09:00,TRAT-002,campo,cana,44.8,23.8,4.9,22.0,15.8,665.0,latossolo,2,683.8,16,21.5,0
2026-05-26 14:45,TRAT-004,transporte,soja,41.3,13.7,2.0,32.2,16.1,327.6,latossolo,2,1431.3,11,5.1,0
2026-05-27 06:15,COLH-005,campo,milho,35.3,16.2,2.4,33.2,6.6,528.7,latossolo,2,1076.0,51,10.0,0
2026-05-27 09:30,TRAT-004,campo,soja,69.3,10.3,3.4,30.2,1.7,50.2,argissolo,5,1432.7,48,23.6,1
2026-05-28 09:00,TRAT-004,campo,cana,82.4,33.5,5.7,31.8,17.7,39.3,gleissolo,5,1434.7,91,7.4,1
2026-05-28 09:30,TRAT-004,campo,soja,83.8,29.8,13.4,23.7,3.8,85.4,gleissolo,5,1436.0,54,12.4,1
2026-05-28 08:00,TRAT-004,campo,cana,83.2,6.1,4.2,32.5,5.3,107.0,argissolo,4,1437.1,70,8.5,1
2026-05-28 09:45,TRAT-002,campo,cana,84.3,44.5,14.0,23.6,17.4,155.7,argissolo,4,685.0,58,12.8,1
2026-05-29 06:00,TRAT-001,campo,soja,83.0,32.9,10.7,31.2,9.3,115.4,gleissolo,3,213.8,15,19.4,1
2026-05-29 06:30,TRAT-002,campo,soja,81.5,46.4,11.4,29.8,13.4,44.0,gleissolo,2,686.5,94,14.5,1
2026-05-29 07:00,COLH-003,campo,cana,77.3,34.6,1.8,30.5,14.5,111.9,argissolo,1,1544.3,68,26.9,1
2026-05-30 08:15,TRAT-005,campo,soja,79.2,15.9,1.0,30.5,12.2,55.9,argissolo,0,1184.1,68,14.9,1
2026-05-31 08:15,TRAT-005,transporte,cana,77.2,5.1,4.3,22.1,2.4,73.1,argissolo,2,1185.1,54,26.1,1
2026-05-31 07:30,TRAT-004,campo,cana,52.9,3.0,3.4,22.6,5.6,604.3,latossolo,2,1438.2,10,26.9,0
2026-06-01 08:30,TRAT-002,campo,soja,61.4,18.5,3.6,26.4,19.5,310.4,latossolo,0,688.4,74,22.3,0
2026-06-01 06:15,PLAN-001,campo,cana,75.0,49.6,12.7,30.7,3.4,115.6,gleissolo,4,874.3,35,14.1,1
2026-06-01 06:00,TRAT-004,transporte,cana,48.3,18.7,8.7,28.1,13.3,642.6,latossolo,1,1438.8,14,18.2,0
2026-06-01 08:30,COLH-001,transporte,milho,64.5,15.9,1.1,24.4,15.9,197.1,argissolo,4,1358.6,18,7.7,1
2026-06-02 09:00,PLAN-001,campo,soja,64.1,2.3,4.0,25.7,14.5,404.8,latossolo,2,876.2,10,9.2,0
2026-06-02 15:15,COLH-001,campo,soja,84.7,6.2,2.0,27.4,15.3,102.0,argissolo,1,1359.3,17,15.1,1
2026-06-02 06:00,TRAT-004,campo,milho,55.8,14.6,3.9,31.8,1.9,496.7,latossolo,0,1439.4,30,25.7,0
2026-06-02 08:00,TRAT-001,transporte,soja,62.9,9.9,0.1,30.2,4.7,465.6,latossolo,0,215.1,28,10.6,0
2026-06-02 14:15,TRAT-005,campo,cana,45.3,10.5,9.6,31.6,6.1,198.2,latossolo,4,1185.9,7,27.7,1
2026-06-03 14:45,COLH-001,transporte,cana,31.0,14.9,0.4,31.7,6.7,298.7,latossolo,1,1361.0,72,12.6,0
2026-06-03 06:15,TRAT-004,campo,cana,38.8,21.2,12.0,26.3,17.0,698.0,latossolo,0,1440.6,27,9.7,0
2026-06-04 15:30,PLAN-002,campo,cana,91.2,63.7,8.1,24.1,2.2,105.3,gleissolo,0,1674.4,34,18.4,1
2026-06-05 08:15,TRAT-003,campo,soja,81.5,21.0,8.8,33.0,15.8,106.0,gleissolo,4,1962.7,51,27.1,1
2026-06-06 08:30,COLH-001,campo,soja,74.2,24.5,4.8,30.5,11.9,137.4,argissolo,4,1362.4,50,9.4,1
2026-06-06 08:30,TRAT-003,campo,soja,82.8,64.7,14.5,22.4,12.6,115.4,gleissolo,4,1963.8,33,19.4,1
2026-06-07 08:00,TRAT-004,campo,milho,33.5,17.7,9.6,32.6,9.8,636.9,latossolo,1,1441.6,31,10.0,0
2026-06-08 15:00,TRAT-001,campo,cana,46.6,22.0,5.3,26.5,16.8,241.5,latossolo,2,216.3,88,22.2,1
2026-06-09 06:30,TRAT-001,campo,soja,45.0,18.3,8.2,32.8,3.2,243.6,latossolo,2,217.1,83,25.4,0
2026-06-10 14:45,TRAT-003,campo,milho,57.9,18.1,10.9,25.2,6.7,254.5,latossolo,0,1964.5,17,5.2,0
2026-06-11 06:30,TRAT-001,campo,milho,84.6,24.4,3.1,29.7,19.6,86.3,gleissolo,3,218.7,19,11.4,1
2026-06-12 06:45,TRAT-003,campo,milho,40.5,11.6,3.4,25.2,2.6,395.2,latossolo,2,1965.9,90,6.3,0
2026-06-13 14:00,COLH-003,transporte,milho,93.7,45.8,3.5,25.6,8.8,91.8,gleissolo,5,1545.6,9,16.1,1
2026-06-13 09:15,TRAT-003,transporte,soja,69.5,10.9,15.0,29.5,16.9,382.9,latossolo,1,1967.4,45,25.9,1
2026-06-13 09:45,PLAN-001,campo,milho,55.4,33.0,8.8,31.4,3.6,233.4,argissolo,0,878.0,23,17.6,0
2026-06-13 14:00,TRAT-005,transporte,milho,88.1,45.7,7.1,24.1,9.0,53.8,gleissolo,4,1187.6,82,20.3,1
2026-06-14 15:15,TRAT-001,campo,milho,91.3,33.6,4.2,27.9,14.4,31.8,gleissolo,0,219.8,34,7.2,1
2026-06-15 08:45,PLAN-002,campo,soja,46.3,12.1,7.7,26.5,2.5,652.4,latossolo,0,1674.9,13,11.5,0
2026-06-15 07:15,TRAT-004,transporte,soja,44.4,5.0,1.8,27.6,8.8,177.8,latossolo,0,1442.2,92,4.7,0
2026-06-16 09:30,COLH-001,campo,milho,63.6,20.5,2.4,28.9,19.4,187.8,argissolo,1,1363.8,87,9.4,1
2026-06-17 15:00,COLH-005,transporte,cana,39.0,15.2,14.1,30.6,14.6,590.5,latossolo,1,1077.1,59,25.5,0
2026-06-18 07:45,TRAT-005,campo,cana,50.5,16.6,12.6,26.5,13.5,206.3,latossolo,2,1188.7,41,11.2,0
2026-06-18 08:30,TRAT-005,campo,cana,78.8,43.3,3.6,22.7,17.4,88.6,gleissolo,4,1189.4,56,19.9,1
2026-06-18 08:30,COLH-003,campo,cana,52.9,4.7,3.6,24.7,11.4,539.4,latossolo,1,1547.5,90,12.6,0
2026-06-18 08:00,COLH-005,campo,milho,82.4,42.9,13.5,29.9,5.6,161.8,argissolo,1,1078.9,44,14.1,1
2026-06-19 14:30,COLH-005,transporte,milho,53.2,15.5,7.1,24.3,3.7,498.9,latossolo,2,1080.7,53,16.7,0
2026-06-19 07:30,COLH-003,transporte,milho,37.2,2.0,1.7,33.8,7.3,624.3,latossolo,0,1548.5,5,14.8,0
