N,P,K,temperature,humidity,ph,rainfall,label
13,13,21,26.474741,96.165527,5.703085,161.256019,coconut
20,91,21,19.472941,25.687206,6.093075,111.301417,kidneybeans
17,58,23,27.094158,59.710949,6.700972,43.179965,mothbeans
17,47,21,32.686396,79.952466,7.163752,58.731016,mungbean
16,72,23,24.842939,72.215889,6.413038,50.679504,lentil
109,20,49,23.091955,81.104254,6.609053,54.422256,watermelon
22,48,25,29.53599,86.104819,6.578574,48.190827,mungbean
18,71,9,25.830765,48.813646,5.436127,130.269873,pigeonpeas
16,54,11,24.289105,44.745874,6.581304,138.482406,pigeonpeas
20,63,19,27.157154,36.227595,5.983267,129.405576,pigeonpeas
15,66,28,20.141773,22.922804,5.395934,95.754579,kidneybeans
75,49,26,20.557661,68.149386,6.142664,85.574896,maize
83,44,51,26.384577,86.327784,6.466236,201.453403,jute
33,43,80,22.501022,20.716839,7.383864,73.625457,chickpea
19,133,208,23.272151,94.300451,6.099824,130.688849,apple
20,10,10,23.126895,93.015398,6.913668,132.757156,orange
124,48,31,24.909851,79.393791,6.557399,68.836349,cotton
77,49,35,24.47902,88.430956,6.356496,248.051352,rice
21,15,30,27.643006,91.932737,5.640519,177.934357,coconut
21,150,204,24.746895,81.486407,5.872686,66.048645,grapes
15,59,15,22.61588,62.012025,6.81434,54.371545,lentil
116,21,56,25.360682,91.157123,6.412798,50.687386,watermelon
28,145,201,20.742838,77.081895,5.942892,62.501934,grapes
21,143,189,24.763535,80.463273,5.595147,108.789628,grapes
30,68,22,30.450912,67.005421,7.364904,61.524905,blackgram
19,20,44,22.729796,99.9,5.986038,72.787933,pomegranate
49,80,75,16.660765,17.422659,6.592624,85.847516,chickpea
19,20,29,27.027704,91.05401,6.114193,159.701196,coconut
64,35,27,22.076691,59.847418,6.715962,72.887689,maize
16,49,17,24.044561,69.592959,6.340369,30.797132,lentil
28,124,198,22.768275,77.328539,5.76865,86.615816,grapes
106,16,49,23.386534,83.901226,6.194614,54.83455,watermelon
80,41,34,25.854592,81.187567,6.384259,139.039332,jute
109,31,31,27.430717,59.436164,7.193828,174.352645,coffee
104,35,30,22.067467,48.699275,7.094272,144.74516,coffee
19,68,12,19.500647,21.799182,6.948317,88.320495,kidneybeans
71,58,31,24.230453,76.619415,6.236186,167.999394,jute
17,46,21,27.150866,61.813216,7.069627,51.39447,mothbeans
18,67,21,19.125543,19.297168,5.913661,88.691311,kidneybeans
92,95,65,27.321712,85.398842,5.477401,126.504431,banana
19,65,23,20.770116,23.264624,6.087707,81.966418,kidneybeans
24,18,40,30.765295,93.773265,6.801295,176.611992,coconut
52,65,34,32.873122,96.198802,6.809787,119.069699,papaya
46,55,49,33.04255,86.772758,6.481381,141.047586,papaya
18,49,24,29.501663,82.486105,6.996984,42.624125,mungbean
18,24,43,30.706858,54.610793,5.802553,67.276122,mango
18,21,42,21.750864,83.393337,6.095138,110.756007,pomegranate
111,19,45,28.004498,89.926143,6.607621,41.998398,watermelon
24,75,21,23.617241,23.488422,6.055664,104.20319,kidneybeans
67,45,16,22.132572,65.653199,6.511877,83.590024,maize
27,136,185,23.330338,93.279589,5.658681,124.471177,apple
39,73,24,28.203808,54.19605,6.891502,71.52245,blackgram
44,65,71,14.596369,14.84254,7.215548,66.192307,chickpea
19,132,204,25.818268,82.577014,6.032314,71.272982,grapes
21,138,190,21.210265,77.50722,6.718262,77.955144,grapes
113,75,54,27.180272,79.663653,5.591123,138.312064,banana
121,60,26,23.323223,82.464768,6.773359,110.822147,cotton
71,44,42,22.854413,79.011118,6.497475,243.348997,rice
18,20,37,22.247572,90.019508,6.037055,104.726666,pomegranate
17,47,14,23.503878,86.801839,6.943562,51.620668,mungbean
95,111,55,32.138575,85.981736,5.996721,111.028141,banana
75,41,36,28.989878,81.225855,5.906495,161.994775,jute
17,38,21,26.811352,86.409939,6.506869,31.188416,mungbean
76,53,14,23.556024,66.531618,6.496981,90.783373,maize
39,64,87,20.795053,14.681367,7.462821,66.425149,chickpea
42,60,75,20.344763,15.881501,7.990786,75.005457,chickpea
36,64,88,19.126541,12.685166,7.667692,70.977839,chickpea
22,137,198,26.261488,94.272783,5.512666,117.96611,apple
66,61,47,22.996237,75.447462,6.941549,232.563805,rice
19,56,15,18.092085,22.829069,5.927738,94.173937,kidneybeans
54,71,73,34.201028,89.747631,6.88115,137.675741,papaya
99,33,24,25.250161,57.693472,6.305219,148.503146,coffee
40,56,16,31.383562,59.69268,5.887292,65.274728,blackgram
21,84,14,21.047264,18.294475,6.122205,91.219702,kidneybeans
20,29,35,30.21162,51.903067,6.185001,112.483923,mango
16,28,44,32.762994,45.014288,6.254248,90.249807,mango
24,19,31,23.939556,92.469678,5.333271,125.624789,coconut
50,47,42,32.075661,89.746647,6.14994,147.06964,papaya
20,139,196,23.13761,86.257816,5.624886,99.459776,apple
35,62,87,18.230449,15.789055,6.917951,87.353986,chickpea
14,18,42,18.958388,93.912362,5.614759,95.437731,pomegranate
37,66,75,21.804935,17.980234,7.42019,90.333107,chickpea
103,18,51,29.678261,93.320683,6.499757,34.573017,muskmelon
8,149,207,26.612817,97.249858,6.531337,130.573097,apple
91,17,58,26.361369,92.499409,5.807002,21.854392,muskmelon
95,23,39,26.720698,90.353582,6.161724,22.85681,muskmelon
21,23,24,30.18673,51.639237,6.394191,64.288442,mango
20,25,50,32.553015,47.743957,5.377555,66.795674,mango
109,59,12,25.695829,79.594012,7.660333,85.112969,cotton
22,8,23,27.740831,95.206554,5.710901,185.22293,coconut
19,22,34,21.289929,91.378877,6.846609,66.446455,pomegranate
85,45,38,25.348165,85.601665,6.725404,275.164364,rice
103,13,46,28.347732,86.963501,5.824786,20.194017,muskmelon
102,25,30,21.101285,59.91896,5.827552,186.198506,coffee
38,53,49,34.207367,87.141005,6.646004,128.647217,papaya
19,61,21,26.473013,53.512779,6.907207,55.726303,mothbeans
85,36,7,24.9358,54.26497,6.210094,61.597739,maize
19,27,24,31.410557,51.103615,5.198781,109.935406,mango
98,23,55,29.310171,91.499521,6.266734,36.245181,muskmelon
20,66,16,29.097414,58.932443,5.606575,136.756662,pigeonpeas
21,46,24,28.269552,84.460228,6.916363,57.761692,mungbean
98,26,35,26.088042,72.440515,6.864282,145.228563,coffee
16,125,198,25.564695,82.754524,6.543227,54.465939,grapes
17,15,22,23.77672,96.955235,5.889208,176.2622,coconut
109,46,25,23.030026,68.837332,6.824328,77.657091,cotton
18,71,15,27.117968,51.681235,5.66298,152.409275,pigeonpeas
82,40,31,22.730141,77.973808,7.074857,262.449193,rice
27,139,195,25.246682,92.167728,5.988337,112.143512,apple
16,15,33,21.796772,84.301989,6.973404,108.100059,pomegranate
104,27,28,28.005868,54.751991,7.110036,196.78307,coffee
38,55,86,18.744326,16.45856,8.577243,85.481294,chickpea
130,58,15,24.178171,83.471242,7.506539,90.777354,cotton
81,49,35,24.910171,87.735662,6.310376,126.206435,jute
17,28,29,30.852252,58.231553,5.517956,74.755921,mango
96,61,59,25.84991,76.982026,5.738774,110.444735,banana
44,58,43,36.81659,95.561564,6.908205,167.718864,papaya
17,136,206,18.850269,94.388083,5.682719,109.143878,apple
35,80,76,21.334317,21.563948,7.699324,74.525695,chickpea
86,51,38,24.1892,77.295546,6.769611,230.452936,rice
19,78,13,24.205764,45.498404,6.215352,118.613078,pigeonpeas
15,46,21,28.551072,42.637238,6.543873,50.359222,mothbeans
11,41,14,27.987319,83.847809,7.019138,30.406632,mungbean
81,41,28,24.458875,73.317275,6.781728,145.321742,jute
13,26,39,21.755124,92.552307,6.981173,125.917763,pomegranate
25,142,202,18.013793,82.07301,6.392184,77.912212,grapes
21,46,15,26.761781,65.998873,6.900273,58.8213,mothbeans
75,35,37,24.700899,76.959511,6.97471,197.985211,jute
82,64,19,20.604257,54.165446,6.007628,84.337461,maize
17,14,16,30.614038,99.584286,5.393797,170.302893,coconut
76,55,18,23.268481,67.773582,6.032764,104.840847,maize
37,68,83,16.01229,10.111457,7.079785,62.689314,chickpea
88,84,37,27.479428,74.708492,6.084509,86.512853,banana
72,46,33,22.869526,77.508488,7.18589,237.057907,rice
14,23,37,26.837575,95.720091,5.794022,225.314498,coconut
69,56,37,26.590813,82.779285,6.355077,160.326045,jute
20,24,32,30.111408,47.173464,5.192043,108.893862,mango
110,21,59,26.702358,88.210542,6.057252,35.676049,muskmelon
18,139,192,23.052608,91.899309,5.98597,103.805172,apple
110,91,55,31.039544,80.067643,6.159553,93.31198,banana
22,70,11,25.079907,48.263746,5.837349,126.395926,pigeonpeas
42,69,25,31.279839,71.817414,7.030742,51.328415,blackgram
20,15,14,20.180047,83.367045,6.914627,119.370625,orange
39,64,66,19.9272,15.401897,6.832033,37.916067,chickpea
98,18,47,26.054058,82.732496,7.009709,49.864119,watermelon
79,83,50,27.236211,84.364764,6.198978,110.957524,banana
20,148,201,21.010682,89.45472,6.138052,138.973866,apple
41,75,67,15.378382,12.423031,7.805034,72.722128,chickpea
110,31,19,25.017601,72.724539,6.949687,168.195489,coffee
14,64,20,27.898437,45.94116,5.813776,99.233453,pigeonpeas
13,16,5,23.142374,87.92823,6.526019,142.09869,orange
21,143,188,25.144967,86.059317,6.74693,104.774791,apple
17,17,27,24.533919,99.9,5.327373,181.50323,coconut
57,54,55,34.024446,85.858839,6.332553,140.002439,papaya
84,19,50,26.811027,85.35763,6.728378,42.855972,watermelon
19,52,24,30.636389,60.04421,7.248879,47.849133,mothbeans
39,63,54,32.83053,86.41921,6.703227,142.845827,papaya
45,63,77,18.929376,14.645305,7.559312,79.185778,chickpea
17,15,51,26.484741,86.72831,6.778569,121.985651,pomegranate
34,76,78,20.240961,13.784428,6.678496,93.268345,chickpea
54,62,45,36.370225,86.966972,6.663134,162.338348,papaya
24,77,19,19.891576,63.133945,7.981211,43.693383,lentil
23,125,199,22.52916,90.191736,5.490536,107.286269,apple
17,17,40,22.089184,88.470819,7.136357,83.610387,pomegranate
39,82,92,17.985807,15.193364,7.48751,66.024218,chickpea
14,28,27,31.832136,53.703298,6.313642,72.391613,mango
45,78,78,14.65629,15.176534,7.818798,80.656979,chickpea
19,16,37,22.61891,85.543797,6.321005,89.80773,pomegranate
88,12,55,23.030544,83.775903,6.681882,50.338341,watermelon
20,71,22,20.251911,24.97073,6.0929,86.435064,kidneybeans
23,50,26,29.077456,81.371534,6.166749,33.484878,mungbean
98,17,50,28.703607,88.742629,6.943378,27.361563,muskmelon
107,15,60,27.872911,85.512472,6.319422,41.271721,watermelon
16,66,24,19.844902,28.04462,5.31953,104.818666,kidneybeans
113,16,33,29.560725,98.198612,6.869889,19.698468,muskmelon
21,24,29,31.38225,50.846197,6.199287,104.655031,mango
89,41,38,23.111838,76.44594,6.518448,243.831658,rice
42,68,25,31.665366,57.599576,7.134905,65.532466,blackgram
40,69,74,18.267854,18.847313,7.781554,78.908306,chickpea
124,84,46,25.045547,82.274161,6.613162,100.053192,banana
35,68,11,32.000535,64.768296,7.34742,61.68162,blackgram
17,58,25,27.677106,43.372447,5.88665,128.484946,pigeonpeas
45,52,48,34.035383,91.134814,7.163467,153.161754,papaya
25,68,21,28.385446,41.384017,6.481006,153.046576,pigeonpeas
15,40,17,24.427559,86.189974,6.600371,32.271061,mungbean
22,12,37,21.834079,94.538555,6.256358,141.903302,coconut
118,38,5,27.273866,83.70112,7.108391,70.890154,cotton
27,135,196,26.30233,84.587618,5.626224,50.08302,grapes
22,130,184,22.161175,93.239713,5.744968,79.692307,apple
19,67,17,23.879218,56.013191,7.005702,45.596661,lentil
89,72,46,25.887992,81.295707,5.12139,82.641448,banana
86,47,37,24.538693,71.370155,6.627103,192.210913,jute
25,142,193,23.284902,87.190515,6.264363,111.520304,apple
19,12,37,21.796321,85.803843,7.398333,89.93009,pomegranate
19,137,197,20.42273,99.9,5.705133,68.647818,apple
19,49,24,29.553796,85.236511,6.620722,54.101575,mungbean
88,9,58,26.107903,92.385276,6.801156,20.080447,muskmelon
93,24,40,27.62148,47.73092,6.494093,165.061574,coffee
100,31,29,25.01996,58.450375,6.81154,151.375468,coffee
24,58,21,24.805395,45.466799,5.465095,136.842495,pigeonpeas
74,53,48,26.497296,84.709683,7.069213,188.781398,jute
22,64,17,20.631756,20.253121,5.873547,136.495827,kidneybeans
112,66,42,22.828446,77.269635,6.206555,96.722101,banana
81,50,24,26.763686,73.314961,5.56365,59.408461,maize
73,43,34,21.416472,85.800066,7.088253,143.168614,jute
99,42,17,21.042149,60.756183,6.045045,108.780331,maize
27,80,23,27.144074,47.726746,5.419233,150.54961,pigeonpeas
16,23,34,28.246686,56.546806,5.587142,89.171477,mango
24,61,27,21.099728,16.402775,6.04706,73.499602,kidneybeans
21,12,35,19.404763,83.182861,6.547264,143.121782,pomegranate
99,21,48,26.362489,84.937575,6.461515,53.589304,watermelon
39,81,18,29.660411,63.106119,7.339593,91.518047,blackgram
74,49,17,25.73939,58.043142,6.225251,76.205379,maize
79,37,36,23.771098,78.858347,6.246178,266.188784,rice
18,52,22,30.339543,46.501815,5.973542,59.580142,mothbeans
16,52,21,16.970394,22.381377,5.794621,115.187142,kidneybeans
19,22,46,31.684141,45.09415,6.145569,106.537037,mango
125,45,15,21.594867,88.028396,7.282375,109.153761,cotton
50,50,44,31.981791,89.501871,6.570527,137.669054,papaya
23,51,15,27.579385,50.014061,6.616084,60.788896,mothbeans
119,49,14,24.800041,78.959243,7.01298,69.134223,cotton
27,52,20,30.863135,95.374616,7.048299,58.488131,mungbean
20,19,3,22.970688,92.219814,7.290168,106.245968,orange
72,42,48,22.362498,76.760292,6.475336,174.607801,jute
36,53,15,26.916083,76.224612,6.853956,63.848968,blackgram
21,57,29,30.186211,90.651354,6.467993,37.435842,mungbean
96,37,32,26.033587,70.811359,5.865619,138.617222,coffee
96,96,35,23.263249,80.757581,5.722964,105.154558,banana
17,74,23,30.697218,47.946616,6.067462,150.961351,pigeonpeas
44,49,52,33.47927,91.617627,7.263618,153.982534,papaya
21,105,197,23.496826,93.717238,6.261408,105.250174,apple
15,18,44,24.306257,85.295283,7.598323,122.349587,pomegranate
77,41,21,18.710261,67.847042,6.633412,45.125287,maize
14,40,33,31.620017,53.890984,6.083764,92.891698,mango
21,11,41,27.194465,94.362467,5.413842,176.59866,coconut
14,137,203,24.925296,93.021355,5.362716,93.812901,apple
17,72,11,24.869941,68.016538,7.582932,38.291812,lentil
81,36,34,27.176563,81.647081,6.474279,153.538103,jute
16,52,17,27.935661,54.133674,6.299911,43.21163,mothbeans
11,79,22,21.499047,56.427337,7.568906,38.626201,lentil
26,10,34,24.869576,99.9,5.18216,204.806266,coconut
36,46,24,32.780648,62.680937,6.798419,58.953655,blackgram
70,32,53,24.020636,85.775184,6.403498,213.456641,jute
18,52,13,28.946306,88.207544,6.972092,29.632473,mungbean
110,51,13,25.462776,89.006999,7.126643,89.568475,cotton
100,19,55,24.649749,82.968025,6.755961,58.152366,watermelon
22,131,198,25.327215,90.546291,6.144641,113.751267,apple
27,128,196,20.577481,79.030688,6.110793,70.113403,grapes
19,15,26,27.673493,93.828057,6.000894,135.441985,coconut
23,144,206,23.476814,87.40945,4.954058,100.7811,grapes
101,15,43,23.408258,96.173494,6.399379,31.744326,watermelon
79,30,39,21.743296,84.97869,6.546639,207.803606,rice
18,23,32,33.821212,57.226612,5.297374,114.338046,mango
16,30,39,35.005116,67.391272,5.439203,137.363306,mango
102,31,27,28.299263,56.50402,6.016327,149.217422,coffee
21,19,37,21.796657,90.278398,6.098785,118.578573,pomegranate
105,85,57,28.190747,79.149291,5.581604,100.020527,banana
23,144,215,22.187532,85.204727,6.206161,86.101191,grapes
76,54,37,21.950443,79.277427,6.357131,187.29536,jute
14,9,10,20.149686,99.9,6.175391,93.996494,orange
108,40,13,22.706638,77.116882,5.948972,90.503329,cotton
24,27,31,32.820054,45.850833,5.821621,96.883229,mango
48,69,44,33.17611,83.055722,7.393905,121.590635,papaya
99,22,44,32.428399,90.41477,6.535679,22.750371,muskmelon
19,30,20,31.057715,44.855207,6.665629,54.291068,mothbeans
63,58,40,24.107832,78.210051,5.893911,189.833415,jute
41,66,91,19.88195,19.204633,7.565153,98.602108,chickpea
18,50,24,27.754559,60.091032,7.481047,41.836791,mothbeans
18,19,55,19.416017,85.718328,6.122567,107.642863,pomegranate
105,22,41,28.778883,86.235644,6.497175,47.024513,watermelon
21,54,15,29.040383,48.561011,6.939068,38.355016,mothbeans
135,41,15,24.640501,83.679552,7.2647,65.573564,cotton
53,62,66,33.787817,94.709049,6.119635,126.500786,papaya
99,20,62,27.058474,84.767313,7.050934,29.080213,watermelon
19,32,17,26.120387,50.054122,6.845076,60.577916,mothbeans
87,56,35,25.145064,83.951124,6.728824,292.903789,rice
29,20,41,26.141252,96.905647,6.335408,153.591667,coconut
18,48,18,24.185086,51.369918,6.777752,57.33661,mothbeans
19,48,25,30.743785,53.035125,6.744703,50.440796,mothbeans
88,60,20,20.716455,68.879777,6.028914,125.267745,maize
74,43,41,21.527873,76.670145,6.112622,229.596585,rice
70,42,24,21.862626,75.181937,6.030604,90.579883,maize
20,15,23,27.093833,96.051988,6.009692,230.261304,coconut
19,14,10,21.617706,93.814729,6.785055,119.370472,orange
16,17,45,19.984194,89.141816,6.68288,68.168644,pomegranate
18,65,26,21.215382,17.554168,5.998602,112.473326,kidneybeans
103,19,51,27.59083,87.402248,6.381978,46.371437,watermelon
18,47,19,30.940566,81.693283,6.394992,59.363029,mungbean
39,69,22,30.975212,67.552619,7.378213,49.772363,blackgram
92,49,35,26.026728,82.762699,6.871719,238.025554,rice
78,39,31,25.089266,89.937667,5.840573,252.889077,rice
112,40,12,26.379634,79.226445,6.401464,67.602629,cotton
103,48,14,25.472714,76.986347,6.479468,91.994968,cotton
14,59,18,25.070924,52.035793,5.508691,192.301121,pigeonpeas
26,21,10,24.534789,85.952793,8.009349,98.195708,orange
45,61,24,28.604189,57.984826,7.189655,83.489101,blackgram
17,71,21,25.784602,55.134465,7.302643,40.30301,lentil
110,90,49,21.491502,77.833091,5.649634,85.434901,banana
16,27,38,33.443378,51.574569,5.670733,99.032185,mango
74,55,25,19.53098,69.979201,6.580469,79.04873,maize
21,143,182,23.955274,92.269304,6.240772,131.297356,apple
13,14,27,18.340105,90.914117,5.517732,77.377086,pomegranate
21,27,39,31.68695,47.775057,5.800718,96.765611,mango
119,46,17,25.964632,70.785682,6.686091,72.725667,cotton
24,54,24,26.567687,85.682446,6.579814,38.943986,mungbean
20,58,28,30.794577,49.940162,6.209412,152.505736,pigeonpeas
39,73,80,17.396061,16.042838,6.98159,97.140107,chickpea
21,115,199,23.056964,91.955352,5.674768,94.06871,apple
104,37,26,27.249251,60.73576,7.318399,173.405718,coffee
23,69,10,24.765627,47.884925,5.924,147.86823,pigeonpeas
76,45,34,25.439207,91.412844,6.498114,164.162204,jute
